,Year,Make,Model,Condition,Price,Consumer_Rating,Consumer_Review_#,Exterior_Color,Interior_Color,Drivetrain,Fuel_Type,Transmission,Engine,VIN,Stock_#,Mileage,Comfort_Rating,Interior_Design_Rating,Performance_Rating,Value_For_Money_Rating,Exterior_Styling_Rating,Reliability_Rating,State,Seller_Type,Consumer_Rating_binned
2454,2023,Honda,CR-V EX-L,New,36900.0,4.5,463,Radiant Red Metallic,Gray,All-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HKRS4H7XPH400090,FJ0036,8.0,5.0,5.0,5.0,4.0,4.0,5.0,KY,Dealer,4
2455,2014,Honda,Ridgeline SE,Used,22850.0,4.6,90,Taffeta White,Black,Four-wheel Drive,Gasoline,5-Speed Automatic,3.5L V6 24V MPFI SOHC,5FPYK1F60EB009800,6511199B,85154.0,4.8,4.5,4.6,4.6,4.6,4.8,OH,Dealer,4
2456,2020,Honda,Civic Sport,Used,23500.0,4.1,558,Crystal Black Pearl,Black,Front-wheel Drive,Gasoline,Automatic CVT,2.0L I4 16V MPFI DOHC,2HGFC2F82LH583358,CIP1451A,32937.0,4.8,4.8,4.9,4.8,4.9,4.9,GA,Dealer,4
2457,2022,Honda,Accord Sport 1.5T,New,30470.0,4.8,2243,Platinum White Pearl,–,Front-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F37NA105448,NA105448,5.0,5.0,5.0,5.0,5.0,5.0,5.0,TN,Dealer,4
2458,2022,Honda,Civic Sport,Honda Certified,29987.0,4.8,2243,Boost Blue Pearl,–,Front-wheel Drive,Gasoline,Automatic CVT,2.0L I4 16V GDI DOHC,19XFL2H89NE021211,NE021211,1112.0,4.6,4.9,4.4,4.6,4.6,4.7,TN,Dealer,4
2460,2019,Honda,Passport Sport,Honda Certified,27980.0,4.8,1152,Maroon,–,Front-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF7H27KB010948,P14391,40850.0,4.8,4.7,4.7,4.6,4.7,4.8,GA,Dealer,4
2461,2023,Honda,Ridgeline RTL-E,New,46075.0,4.8,989,Modern Steel Metallic,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F79PB020530,H020530,2.0,5.0,4.8,4.8,4.2,5.0,5.0,OH,Dealer,4
2466,2023,Honda,Odyssey Elite,New,51310.0,4.8,551,Platinum White Pearl,Beige,Front-wheel Drive,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H91PB020659,24184,6.0,5.0,5.0,4.0,4.0,4.0,5.0,NC,Dealer,4
2467,2020,Honda,Odyssey EX-L,Used,33995.0,4.7,53,Gray,Mocha,Front-wheel Drive,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H79LB027688,25043A,54677.0,4.8,4.8,4.7,4.6,4.7,4.7,SC,Dealer,4
2468,2011,Honda,Pilot Touring,Used,5995.0,4.5,13,White,Black,Four-wheel Drive,Gasoline,5-Speed Automatic,3.5L V6 24V MPFI SOHC,5FNYF4H98BB007892,66076455,179851.0,4.7,4.4,4.4,4.4,4.5,4.6,PA,Dealer,4
2469,2018,Honda,Odyssey Elite,Used,21849.0,4.5,348,White Diamond Pearl,Beige,Front-wheel Drive,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H90JB024337,JB024337T,114127.0,4.8,4.7,4.6,4.3,4.7,4.6,FL,Dealer,4
2470,2023,Honda,CR-V Hybrid Sport Touring,New,40395.0,5.0,2945,Meteorite Gray Metallic,Black,All-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,7FARS6H90PE006369,PE006369,3.0,5.0,3.0,4.0,4.0,5.0,5.0,FL,Dealer,5
2471,2022,Honda,Accord Sport 1.5T,New,30470.0,5.0,24,Platinum White Pearl,Black,Front-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F31NA103534,H4882,3.0,5.0,5.0,5.0,5.0,5.0,5.0,NY,Dealer,5
2472,2022,Honda,Pilot Special Edition,New,44600.0,4.6,1504,Platinum White Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H23NB103450,NB103450,1.0,5.0,5.0,5.0,5.0,5.0,5.0,FL,Dealer,4
2473,2022,Honda,Pilot EX-L,Used,37000.0,5.0,7129,Modern Steel Metallic,Gray,Front-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF5H52NB015252,5283701A,13142.0,5.0,5.0,5.0,5.0,5.0,5.0,FL,Dealer,5
2474,2022,Honda,Accord Hybrid EX-L,Used,34988.0,4.2,1771,Radiant Red Metallic,Ivory,Front-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V MPFI DOHC Hybrid,1HGCV3F56NA008982,HYP2547,13582.0,4.9,5.0,5.0,4.9,4.9,5.0,NC,Dealer,4
2475,2019,Honda,Civic EX,Used,22995.0,5.0,1625,Gray,–,Front-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,SHHFK7H69KU419036,65536A,25891.0,4.8,4.8,4.9,4.8,4.9,4.9,NY,Dealer,5
2477,2022,Honda,Pilot Sport,New,41375.0,4.2,386,Black,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H32NB098170,HCP220294,91.0,5.0,5.0,5.0,5.0,5.0,5.0,NY,Dealer,4
2478,2022,Honda,Pilot Special Edition,New,44600.0,4.2,386,Dark Cherry Pearl,Beige,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H27NB100132,HCP220303,2.0,5.0,5.0,5.0,5.0,5.0,5.0,NY,Dealer,4
2479,2020,Honda,Pilot EX,Used,28995.0,4.1,260,Platinum White Pearl,Black,All-wheel Drive,Gasoline,6-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H38LB047527,X042442B,37411.0,4.6,4.5,4.2,4.1,4.5,4.1,VA,Dealer,4
2480,2022,Honda,Pilot Sport,Used,37894.0,5.0,1086,–,–,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H36NB047352,P047352,4199.0,5.0,5.0,5.0,5.0,5.0,5.0,PA,Dealer,5
2482,2023,Honda,CR-V Hybrid Sport Touring,New,39845.0,2.9,27,Lunar Silver Metallic,Black,All-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,2HKRS6H90PH800611,8800611,0.0,5.0,3.0,4.0,4.0,5.0,5.0,MD,Dealer,2
2484,2020,Honda,Accord Sport 1.5T,Used,11950.0,4.5,145,Gray,Black,Front-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F35LA012764,012764,53966.0,4.8,4.8,4.8,4.8,4.9,4.9,FL,Dealer,4
2485,2022,Honda,Pilot TrailSport,New,49500.0,5.0,1047,Gray,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H83NB103159,H50327,5.0,5.0,5.0,5.0,5.0,5.0,5.0,PA,Dealer,5
2486,2023,Honda,CR-V Hybrid Sport Touring,New,40240.0,4.4,25,Still Night Pearl,Black,All-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,2HKRS6H99PH805208,H23046,4.0,5.0,3.0,4.0,4.0,5.0,5.0,MD,Dealer,4
2487,2023,Honda,HR-V LX,New,27440.0,5.0,3575,Platinum White Pearl,–,Front-wheel Drive,Gasoline,Automatic CVT,2.0L I4 16V GDI DOHC,3CZRZ1H32PM723495,S87747,3.0,4.0,5.0,4.0,5.0,5.0,5.0,PA,Dealer,5
2488,2023,Honda,Ridgeline RTL,New,41075.0,4.8,536,Crystal Black Pearl,Black,All-wheel Drive,Gasoline,Automatic,Regular Unleaded V-6 3.5 L/212,5FPYK3F51PB016812,H29551,0.0,5.0,4.8,4.8,4.2,5.0,5.0,DE,Dealer,4
2489,2023,Honda,CR-V EX-L,New,36900.0,4.4,124,Platinum White Pearl,Black,All-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,7FARS4H75PE008332,PE008332,3.0,5.0,5.0,5.0,4.0,4.0,5.0,PA,Dealer,4
2490,2022,Honda,Accord Hybrid Sport,New,32165.0,4.2,1578,Crystal Black Pearl,Black,Front-wheel Drive,Hybrid,Variable,Gas/Electric I-4 2.0 L/122,1HGCV3F20NA034953,2221023,5.0,4.9,5.0,5.0,4.9,4.9,5.0,NJ,Dealer,4
2491,2023,Honda,CR-V Hybrid Sport Touring,New,39845.0,4.2,1578,Still Night Pearl,Black,All-wheel Drive,Hybrid,Variable,Gas/Electric I-4 2.0 L/122,A014128300033,A014128300033,5.0,5.0,3.0,4.0,4.0,5.0,5.0,NJ,Dealer,4
2493,2008,Honda,Civic EX,Used,10995.0,4.9,95,Galaxy Gray Metallic,Gray,Front-wheel Drive,Gasoline,Automatic,1.8L SOHC MPFI 16-valve i-VTEC I4 engine,2HGFA16818H506889,44544,107511.0,4.2,4.4,4.3,4.5,4.5,4.7,NJ,Dealer,4
2494,2014,Honda,Pilot Touring,Used,16695.0,4.2,90,Red,–,Four-wheel Drive,Gasoline,5-Speed Automatic,3.5L V6 24V MPFI SOHC,5FNYF4H91EB015630,3286,116041.0,4.7,4.6,4.6,4.6,4.5,4.7,NY,Dealer,4
2497,2015,Honda,Civic EX-L,Used,12300.0,5.0,5,Blue,Gray,Front-wheel Drive,Gasoline,Automatic CVT,1.8L I4 16V MPFI SOHC,2HGFG3B07FH511263,103145,124500.0,4.6,4.6,4.6,4.7,4.6,4.8,NH,Dealer,5
2498,2023,Honda,CR-V EX-L,New,41900.0,4.6,1493,Platinum White Pearl,Black,All-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HKRS4H70PH400910,H230060,8.0,5.0,5.0,5.0,4.0,4.0,5.0,MA,Dealer,4
2499,2021,Honda,Passport Touring,Used,36557.0,4.8,91,Deep Scarlet Pearl,Gray,Front-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF7H97MB011341,B011341P,16623.0,4.9,4.7,4.8,4.6,4.8,4.8,CA,Dealer,4
2502,2022,Honda,Pilot EX-L,New,42000.0,4.9,79,Platinum White Pearl,Beige,Front-wheel Drive,Gasoline,Automatic,V6 Cylinder Engine,5FNYF5H5XNB038049,N01745,5.0,5.0,5.0,5.0,5.0,5.0,5.0,CA,Dealer,4
2503,2022,Honda,Pilot EX-L,New,41605.0,4.4,845,Crystal Black,Black,Front-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF5H51NB038960,101986,2.0,5.0,5.0,5.0,5.0,5.0,5.0,CA,Dealer,4
2504,2023,Honda,Ridgeline Black Edition,New,49515.0,4.8,251,Platinum White Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F89PB013618,40082,6.0,5.0,4.8,4.8,4.2,5.0,5.0,CA,Dealer,4
2505,2019,Honda,Pilot Touring 7-Passenger,Used,31499.0,4.7,3,White,Beige,Front-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF5H62KB000285,83844,52477.0,4.8,4.7,4.7,4.6,4.7,4.8,CA,Dealer,4
2506,2019,Honda,Odyssey EX-L,Used,30000.0,4.6,62,Gray,Black,Front-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H73KB042184,15420,66415.0,4.8,4.6,4.5,4.3,4.7,4.5,WA,Dealer,4
2507,2023,Honda,CR-V EX-L,New,36505.0,4.2,824,Canyon,Black,All-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HKRS4H76PH400412,33113,3.0,5.0,5.0,5.0,4.0,4.0,5.0,CO,Dealer,4
2508,2022,Honda,Accord Sport 2.0T,New,35150.0,4.2,824,Sonic Gray Pearl,Black,Front-wheel Drive,Gasoline,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,1HGCV2F30NA020358,22085,3.0,5.0,5.0,5.0,5.0,5.0,5.0,CO,Dealer,4
2509,2017,Honda,Fit EX,Used,18921.0,5.0,219,Red,–,Front-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC,JHMGK5H78HS008059,18477,70851.0,4.5,4.5,4.5,4.6,4.6,4.8,WA,Dealer,5
2510,2016,Honda,Civic EX,Used,17040.0,4.6,878,Modern Steel Metallic,Black,Front-wheel Drive,Gasoline,Automatic CVT,2.0L I4 16V MPFI DOHC,2HGFC2F71GH510561,70295A,99205.0,4.6,4.6,4.6,4.6,4.8,4.6,WA,Dealer,4
2511,2022,Honda,Pilot Sport,New,38276.0,3.8,672,Sonic Gray Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H31NB087886,46083,5.0,5.0,5.0,5.0,5.0,5.0,5.0,WA,Dealer,3
2512,2014,Honda,Accord LX,Used,14225.0,2.5,89,–,–,Front-wheel Drive,Gasoline,Automatic CVT,2.4L I4 16V GDI DOHC,1HGCR2F30EA299072,2994X,104972.0,4.6,4.6,4.6,4.6,4.7,4.8,MT,Dealer,2
2513,2018,Honda,Odyssey EX-L,Used,31500.0,4.7,304,Modern Steel Metallic,Beige,Front-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H79JB034430,230111A,47268.0,4.8,4.7,4.6,4.3,4.7,4.6,TX,Dealer,4
2514,2022,Honda,Pilot Sport,New,41769.0,5.0,5,Platinum White Pearl,Black,All-wheel Drive,Gasoline,9-SPEED A/T,V6 Cylinder Engine,5FNYF6H35NB099376,22043,5.0,5.0,5.0,5.0,5.0,5.0,5.0,OK,Dealer,5
2515,2022,Honda,Accord Sport 1.5T,Used,31318.0,4.9,715,Platinum White Pearl,Black,Front-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F33NA069743,N178A,5618.0,5.0,5.0,5.0,5.0,5.0,5.0,OK,Dealer,4
2517,2021,Honda,Passport Touring,Used,35995.0,4.7,172,Black,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H92MB028778,66938C,8538.0,4.9,4.7,4.8,4.6,4.8,4.8,SD,Dealer,4
2518,2020,Honda,Pilot EX-L,Honda Certified,36375.0,4.7,1362,Crystal Black,–,All-wheel Drive,Gasoline,6-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H55LB020268,A2003650,39604.0,4.6,4.5,4.2,4.1,4.5,4.1,MO,Dealer,4
2519,2023,Honda,Ridgeline RTL-E,New,46025.0,5.0,190,Lunar Silver,–,All-wheel Drive,Gasoline,Automatic,3.5L V6 24V GDI SOHC,5FPYK3F74PB010021,3152,5.0,5.0,4.8,4.8,4.2,5.0,5.0,TX,Dealer,5
2520,2023,Honda,Odyssey EX-L,New,42250.0,4.6,527,Platinum White Pearl,Black,Front-wheel Drive,Gasoline,Automatic,3.5L V6 24V GDI SOHC,5FNRL6H65PB032397,PB032397,2.0,5.0,5.0,4.0,4.0,4.0,5.0,TX,Dealer,4
2521,2020,Honda,Accord Touring 2.0T,Used,28988.0,4.8,31,Silver,Black,Front-wheel Drive,Gasoline,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,1HGCV2F90LA023083,HPX2667,40803.0,4.8,4.8,4.8,4.8,4.9,4.9,AR,Dealer,4
2522,2020,Honda,CR-V Touring,Used,32734.0,4.8,562,White,Ivory,Front-wheel Drive,Gasoline,continuously variable w/sport mode,4 Cylinder Engine,5J6RW1H97LL004980,CU004980,30792.0,4.9,4.8,4.8,4.8,4.9,4.9,TX,Dealer,4
2524,2020,Honda,Accord LX 1.5T,Used,26995.0,5.0,5162,Modern Steel Metallic,Black,Front-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F14LA100686,T9759A,10539.0,4.8,4.8,4.8,4.8,4.9,4.9,MN,Dealer,5
2525,2023,Honda,Odyssey EX-L,New,42250.0,5.0,2231,Platinum White Pearl,Black,Front-wheel Drive,Gasoline,Automatic,3.5L V6 24V GDI SOHC,5FNRL6H61PB031263,230310,0.0,5.0,5.0,4.0,4.0,4.0,5.0,MN,Dealer,5
2526,2020,Honda,Civic Si Base,Used,27495.0,4.6,6558,Modern Steel Metallic,Black,Front-wheel Drive,Gasoline,6-Speed Manual,1.5L I4 16V GDI DOHC Turbo,2HGFC1E59LH700404,W31311A,20030.0,4.8,4.8,4.8,4.8,4.9,4.9,MN,Dealer,4
2527,2019,Honda,Civic Si Base,Used,26875.0,4.3,231,Lunar Silver Metallic,Black,Front-wheel Drive,Gasoline,6-Speed Manual,1.5L I4 16V GDI DOHC Turbo,2HGFC3A50KH753766,L7710,35816.0,4.7,4.8,4.7,4.8,4.8,4.9,MN,Dealer,4
2529,2019,Honda,Accord LX,Used,21995.0,2.5,84,Silver,Gray,Front-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F13KA046635,T19777A,34052.0,4.7,4.7,4.7,4.7,4.8,4.8,IL,Dealer,2
2530,2017,Honda,Accord Sport,Used,19888.0,4.3,111,Crystal Black Pearl,Black,Front-wheel Drive,Gasoline,Automatic CVT,2.4L I4 16V GDI DOHC,1HGCR2F5XHA300962,P11780,53891.0,4.8,4.8,4.8,4.8,4.8,4.9,IA,Dealer,4
2531,2023,Honda,HR-V LX,New,25095.0,4.6,7,Crystal Black Pearl,Black,Front-wheel Drive,Gasoline,1-Speed CVT with Overdrive,2.0L I4 16V GDI DOHC,3CZRZ1H33PM729306,25858,0.0,4.0,5.0,4.0,5.0,5.0,5.0,LA,Dealer,4
2533,2022,Honda,Civic Sport,New,25540.0,4.2,415,Sonic Gray Pearl,–,Front-wheel Drive,Gasoline,Automatic CVT,2.0L I4 16V GDI DOHC,2HGFE2F54NH607596,41112-30,2.0,4.6,4.9,4.4,4.6,4.6,4.7,LA,Dealer,4
2534,2008,Honda,Element EX,Used,11577.0,4.8,734,Tangerine Metallic,Black / Titanium,Front-wheel Drive,Gasoline,5-Speed Automatic,2.4L I4 16V MPFI DOHC,5J6YH18728L000816,NK9764,112005.0,4.4,4.5,4.3,4.7,4.6,4.7,IL,Dealer,4
2535,2022,Honda,Passport EX-L,Used,37990.0,4.6,1874,White,–,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H5XNB012049,NB012049,9726.0,5.0,5.0,4.9,5.0,4.9,5.0,IL,Dealer,4
2536,2006,Honda,Element LX,Used,9725.0,4.4,1789,Atomic Blue Metallic,Gray / Blue,Front-wheel Drive,Gasoline,4-Speed Automatic,2.4L I4 16V MPFI DOHC,5J6YH183X6L013128,HPS10776,83200.0,4.2,4.4,4.1,4.5,4.5,4.6,IL,Dealer,4
2538,2014,Honda,Crosstour EX-L,Used,16811.0,4.8,1053,Crystal Black Pearl,Black,Four-wheel Drive,Gasoline,6-Speed Automatic,3.5L V6 24V MPFI SOHC,5J6TF2H53EL800783,7785Q,92830.0,4.8,4.8,5.0,4.6,4.7,4.8,IN,Dealer,4
2539,2019,Honda,Civic Si Base,Used,22999.0,4.3,22,Lunar Silver Metallic,Black,Front-wheel Drive,Gasoline,6-Speed Manual,1.5L I4 16V GDI DOHC Turbo,2HGFC3A57KH754185,T754185,62432.0,4.7,4.8,4.7,4.8,4.8,4.9,AL,Dealer,4
2540,2020,Honda,Civic LX,Used,21495.0,4.0,227,Gray,Black,Front-wheel Drive,Gasoline,Automatic CVT,2.0L I4 16V MPFI DOHC,19XFC2F66LE022153,P6730,43956.0,4.8,4.8,4.9,4.8,4.9,4.9,AL,Dealer,4
2541,2007,Honda,Accord EX,Used,7990.0,3.9,348,Silver,Black,Front-wheel Drive,Gasoline,5-Speed Manual,2.4L I4 16V MPFI DOHC,1HGCM55727A169396,169396,121745.0,4.5,4.4,4.5,4.6,4.4,4.7,IN,Dealer,3
2542,2022,Honda,Pilot Sport,New,43375.0,4.7,64,Lunar Silver Metallic,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H31NB068836,L220582,4.0,5.0,5.0,5.0,5.0,5.0,5.0,IN,Dealer,4
2543,2020,Honda,Civic EX,Used,25980.0,4.9,1545,Rallye Red,Black,Front-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,SHHFK7H68LU220495,T727689,30478.0,4.8,4.8,4.9,4.8,4.9,4.9,FL,Dealer,4
2545,2022,Honda,Accord Sport SE,New,31960.0,4.6,146,Platinum White Pearl,Black,FWD,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F43NA092870,1992870,10.0,5.0,5.0,5.0,5.0,5.0,5.0,TN,Dealer,4
2546,2023,Honda,Ridgeline RTL,New,42488.0,4.5,463,–,–,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F58PB019352,FJ0126,3.0,5.0,4.8,4.8,4.2,5.0,5.0,KY,Dealer,4
2547,2022,Honda,Accord Sport 1.5T,Used,33995.0,4.2,63,Sonic Gray Pearl,Black,Front-wheel Drive,Gasoline,continuously variable,4 Cylinder Engine,1HGCV1F35NA006210,6180P,14741.0,5.0,5.0,5.0,5.0,5.0,5.0,TN,Dealer,4
2548,2022,Honda,Civic Sport,Used,24997.0,4.6,3,Boost Blue Pearl,Black,Front-wheel Drive,Gasoline,Automatic CVT,2.0L I4 16V GDI DOHC,2HGFE2F58NH544051,1002972,20377.0,4.6,4.9,4.4,4.6,4.6,4.7,OH,Dealer,4
2549,2023,Honda,Ridgeline RTL-E,Used,48252.0,4.8,1043,Blue,–,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F77PB011325,L6175,1000.0,5.0,4.8,4.8,4.2,5.0,5.0,OH,Dealer,4
2550,2022,Honda,Accord Sport 1.5T,New,30075.0,4.8,2243,Lunar Silver Metallic,–,Front-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F33NA109190,NA109190,5.0,5.0,5.0,5.0,5.0,5.0,5.0,TN,Dealer,4
2552,2017,Honda,Pilot EX,Honda Certified,26684.0,4.7,423,Lunar Silver Metallic,Gray,Front-wheel Drive,Gasoline,6-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF5H37HB019526,H231135A,38504.0,4.8,4.7,4.7,4.6,4.7,4.7,OH,Dealer,4
2553,2023,Honda,Odyssey Touring,New,46400.0,4.8,184,Pacific Pewter Metallic,Mocha,Front-wheel Drive,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H81PB036982,H1955,6.0,5.0,5.0,4.0,4.0,4.0,5.0,MI,Dealer,4
2554,2020,Honda,Accord EX-L,Honda Certified,26383.0,4.6,1100,White,Black,Front-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F54LA040041,HA24871A,30185.0,4.8,4.8,4.8,4.8,4.9,4.9,MI,Dealer,4
2555,2023,Honda,CR-V Hybrid Sport Touring,New,40240.0,2.2,338,Platinum White Pearl,Gray,All-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,2HKRS6H97PH800797,900797,3.0,5.0,3.0,4.0,4.0,5.0,5.0,MI,Dealer,2
2556,2019,Honda,CR-V EX,Used,26151.0,4.3,1641,Molten Lava Pearl,Black,All-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,5J6RW2H55KL003490,TKL003490,61606.0,4.8,4.8,4.7,4.7,4.8,4.8,OH,Dealer,4
2558,2018,Honda,Accord EX-L,Used,21934.0,4.7,492,Crystal Black Pearl,Black,Front-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F58JA116826,223101A,99188.0,4.8,4.8,4.7,4.7,4.8,4.8,GA,Dealer,4
2559,2021,Honda,Passport Touring,Used,39477.0,4.8,125,Blue,Gray,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H93MB011651,5494,19703.0,4.9,4.7,4.8,4.6,4.8,4.8,OH,Dealer,4
2560,2008,Honda,Civic LX,Used,6950.0,4.4,80,Gray,Grey,Front-wheel Drive,Gasoline,5-Speed Automatic,1.8L I4 16V MPFI SOHC,1HGFA16548L022496,022496,126163.0,4.2,4.4,4.3,4.5,4.5,4.7,OH,Dealer,4
2561,2023,Honda,CR-V EX-L,New,35005.0,4.4,928,Canyon,Black,Front-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HKRS3H76PH300384,23300384,11.0,5.0,5.0,5.0,4.0,4.0,5.0,SC,Dealer,4
2562,2020,Honda,Passport Elite,Used,39988.0,4.8,8147,Platinum White Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H07LB017369,TY220848B,11786.0,4.9,4.8,4.8,4.6,4.8,4.8,VA,Dealer,4
2563,2020,Honda,Accord Hybrid EX-L,Used,29990.0,5.0,67,Lunar Silver Metallic,Gray,Front-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V MPFI DOHC Hybrid,1HGCV3F56LA001348,001348,28703.0,4.7,4.8,4.5,4.6,4.7,4.8,FL,Dealer,5
2564,2023,Honda,CR-V EX-L,New,36505.0,4.9,620,Black,–,All-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HKRS4H7XPH402034,17257,482.0,5.0,5.0,5.0,4.0,4.0,5.0,VA,Dealer,4
2565,2019,Honda,Passport Elite,Used,31859.0,4.9,3427,Obsidian Blue Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H05KB001735,631263A,34248.0,4.8,4.7,4.7,4.6,4.7,4.8,FL,Dealer,4
2566,2018,Honda,Pilot Elite,Used,29989.0,4.5,222,Black,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H02JB051382,LP8276,53312.0,4.7,4.6,4.7,4.5,4.6,4.7,GA,Dealer,4
2568,2022,Honda,Passport TrailSport,New,50705.0,4.9,1,Crystal Black Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H62NB032739,N11279,1.0,5.0,5.0,4.9,5.0,4.9,5.0,NC,Dealer,4
2569,2017,Honda,CR-V Touring,Used,21821.0,5.0,537,Gunmetal Metallic,–,Front-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,7FARW1H98HE035370,F23135A,58474.0,4.8,4.8,4.7,4.7,4.8,4.8,FL,Dealer,5
2570,2015,Honda,Crosstour EX-L,Used,18623.0,3.0,313,White,Black,Four-wheel Drive,Gasoline,6-Speed Automatic,3.5L V6 24V MPFI SOHC,5J6TF2H50FL000315,K230004C,81683.0,4.7,4.8,4.6,4.5,4.7,4.8,NY,Dealer,3
2571,2019,Honda,Pilot EX-L,Honda Certified,34990.0,5.0,1822,Crystal Black Pearl,Black,All-wheel Drive,Gasoline,6-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H53KB061562,UH13384,21933.0,4.8,4.7,4.7,4.6,4.7,4.8,NY,Dealer,5
